"set","OA_with_date","OA_no_date","variables","set_name"
35,0.748801534036433,0.727708533077661,"RVI_buff, VH_variance","SAR"
36,0.674976030680729,0.658676893576222,"VH_mean, VH_variance","SAR"
37,0.965484180249281,0.946308724832215,"NBR2, B8A, MSAVI8A","optical"
38,0.962607861936721,0.953020134228188,"NBR2, B8A, MSAVI2","optical"
39,0.970278044103547,0.957813998082454,"NBR2, B8A, BSI8A","optical"
40,0.960690316395014,0.938638542665388,"NBR2, B8A, RVI_buff","mixed"
41,0.958772770853308,0.941514860977948,"NBR2, B8A, VH_mean","mixed"
42,0.955896452540748,0.932885906040268,"NBR2, B8A, VH_variance","mixed"
43,0.946308724832215,0.935762224352828,"NBR2, MSAVI8A, MSAVI2","optical"
44,0.959731543624161,0.948226270373921,"NBR2, MSAVI8A, BSI8A","optical"
45,0.947267497603068,0.928092042186002,"NBR2, MSAVI8A, RVI_buff","mixed"
46,0.950143815915628,0.931927133269415,"NBR2, MSAVI8A, VH_mean","mixed"
47,0.945349952061361,0.930968360498562,"NBR2, MSAVI8A, VH_variance","mixed"
48,0.962607861936721,0.946308724832215,"NBR2, MSAVI2, BSI8A","optical"
49,0.948226270373921,0.933844678811122,"NBR2, MSAVI2, RVI_buff","mixed"
50,0.946308724832215,0.932885906040268,"NBR2, MSAVI2, VH_mean","mixed"
51,0.945349952061361,0.935762224352828,"NBR2, MSAVI2, VH_variance","mixed"
52,0.953978906999041,0.931927133269415,"NBR2, BSI8A, RVI_buff","mixed"
53,0.950143815915628,0.921380632790029,"NBR2, BSI8A, VH_mean","mixed"
54,0.948226270373921,0.924256951102589,"NBR2, BSI8A, VH_variance","mixed"
55,0.930009587727709,0.900287631831256,"NBR2, RVI_buff, VH_mean","mixed"
56,0.936720997123682,0.906040268456376,"NBR2, RVI_buff, VH_variance","mixed"
57,0.927133269415149,0.905081495685523,"NBR2, VH_mean, VH_variance","mixed"
58,0.926174496644295,0.904122722914669,"B8A, MSAVI8A, MSAVI2","optical"
59,0.935762224352828,0.919463087248322,"B8A, MSAVI8A, BSI8A","optical"
60,0.929050814956855,0.906999041227229,"B8A, MSAVI8A, RVI_buff","mixed"
61,0.916586768935762,0.894534995206136,"B8A, MSAVI8A, VH_mean","mixed"
62,0.918504314477469,0.893576222435283,"B8A, MSAVI8A, VH_variance","mixed"
63,0.939597315436242,0.924256951102589,"B8A, MSAVI2, BSI8A","optical"
64,0.929050814956855,0.910834132310642,"B8A, MSAVI2, RVI_buff","mixed"
65,0.925215723873442,0.908916586768936,"B8A, MSAVI2, VH_mean","mixed"
66,0.926174496644295,0.902205177372963,"B8A, MSAVI2, VH_variance","mixed"
67,0.927133269415149,0.906040268456376,"B8A, BSI8A, RVI_buff","mixed"
68,0.913710450623202,0.896452540747843,"B8A, BSI8A, VH_mean","mixed"
69,0.919463087248322,0.897411313518696,"B8A, BSI8A, VH_variance","mixed"
70,0.86673058485139,0.823585810162991,"B8A, RVI_buff, VH_mean","mixed"
71,0.868648130393097,0.830297219558965,"B8A, RVI_buff, VH_variance","mixed"
72,0.857142857142857,0.816874400767018,"B8A, VH_mean, VH_variance","mixed"
73,0.927133269415149,0.883029721955896,"MSAVI8A, MSAVI2, BSI8A","optical"
74,0.894534995206136,0.86385426653883,"MSAVI8A, MSAVI2, RVI_buff","mixed"
75,0.88974113135187,0.855225311601151,"MSAVI8A, MSAVI2, VH_mean","mixed"
76,0.88974113135187,0.862895493767977,"MSAVI8A, MSAVI2, VH_variance","mixed"
77,0.929050814956855,0.88974113135187,"MSAVI8A, BSI8A, RVI_buff","mixed"
78,0.922339405560882,0.880153403643336,"MSAVI8A, BSI8A, VH_mean","mixed"
79,0.923298178331735,0.885906040268456,"MSAVI8A, BSI8A, VH_variance","mixed"
80,0.885906040268456,0.856184084372004,"MSAVI8A, RVI_buff, VH_mean","mixed"
81,0.88686481303931,0.856184084372004,"MSAVI8A, RVI_buff, VH_variance","mixed"
82,0.876318312559923,0.843720038350911,"MSAVI8A, VH_mean, VH_variance","mixed"
